Organisation,Allocation,Block,Factor,Description,Rate,Weighting,Pupils,Place numbers,Calculation,Total
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Low prior attainment,Total low prior attainment,,,,,,187580.2
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,English as an additional language,Secondary pupils in first 3 years of education within England,1520.77,0.021708,761,,,1520.77
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,English as an additional language,Total English as an additional language,,,,,,1520.77
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Mobility,Secondary pupils starting school on unusual entry dates (proportion above 6%),1924.5,0,761,,,0
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Mobility,Total mobility,,,,,,0
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,,Total pupil-led factors,,,,,,2541268.73
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Lump sum,Secondary lump sum,110000,1,,,,175000
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Lump sum,Total lump sum,,,,,,175000
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,,Total other factors,,,,,,175000
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Minimum funding level,Minimum per pupil funding level set by local authority,,,,,,4800
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,Minimum funding level,Total adjustment to make sure minimum per pupil funding level is met,,,,,,0
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,,Total funding adjustments,,,,,,0
Mole Catch Academy,General annual grant: academic year 2021 to 2022,School budget share,,Total school budget share,,,,,,3962387.53
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,2020 to 2021 adjusted school budget share,School budget share,,,,,,3716015.19
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,2020 to 2021 adjusted school budget share,Teachers� pay and pension grant,,,,,+,130000
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,2020 to 2021 adjusted school budget share,Approved exclusions,,,,,-,0
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,2020 to 2021 adjusted school budget share,Lump sum (including London fringe) 2021 to 2022,,,,,-,175000
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,2020 to 2021 adjusted school budget share,Technical adjustments,,,,,-,0
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,2020 to 2021 adjusted school budget share,Adjusted school budget share,,,,,=,3541015.19
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,2020 to 2021 per pupil adjusted school budget share,Adjusted school budget share,,,,,,3541015.19
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,2020 to 2021 per pupil adjusted school budget share,Pupil numbers,,,,,/,761
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,2020 to 2021 per pupil adjusted school budget share,Per pupil adjusted school budget share 2020 to 2021,,,,,=,4653.11
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,2021 to 2022 per pupil school budget share guaranteed by local authority,Per pupil adjusted school budget share 2020 to 2021,,,,,,4653.11
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,2021 to 2022 per pupil school budget share guaranteed by local authority,Change guaranteed by local authority,,,,,*,-1.50%
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,2021 to 2022 per pupil school budget share guaranteed by local authority,Per pupil adjusted school budget share 2020 to 2021,,,,,+,4653.11
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,2021 to 2022 per pupil school budget share guaranteed by local authority,Per pupil school budget share guaranteed by local authority,,,,,=,4583.31
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,2021 to 2022 school budget share guaranteed by local authority,Per pupil school budget share guaranteed by local authority,,,,,,4583.31
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,2021 to 2022 school budget share guaranteed by local authority,Pupil numbers,,,,,*,761
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,2021 to 2022 school budget share guaranteed by local authority,School budget share guaranteed by local authority,,,,,=,3487899.96
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,2021 to 2022 adjusted school budget share,School budget share,,,,,,3962387.53
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,2020 to 2021 adjusted school budget share,Teachers� pay and pension grant,,,,,+,130000
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,2021 to 2022 adjusted school budget share,Approved exclusions,,,,,-,0
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,2021 to 2022 adjusted school budget share,Lump sum (including London fringe),,,,,-,175000
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,2021 to 2022 adjusted school budget share,Technical adjustments,,,,,-,0
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,2021 to 2022 adjusted school budget share,Adjusted school budget share,,,,,=,3787387.5
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Minimum funding guarantee,School budget share guaranteed by local authority,,,,,,3487899.96
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Minimum funding guarantee,Adjusted school budget share,,,,,-,3787387.5
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Minimum funding guarantee,Minimum funding guarantee,,,,,=,0
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Per pupil adjusted school budget share 2021 to 2022,Adjusted school budget share 2021 to 2022,,,,,,3787387.5
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Per pupil adjusted school budget share 2021 to 2022,Pupil numbers 2021 to 2022,,,,,/,761
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Per pupil adjusted school budget share 2021 to 2022,Per pupil adjusted school budget share 2021 to 2022,,,,,=,4976.86
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Change in adjusted school budget share,"Per pupil 2021 to 2022	",,,,,,4976.86
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Change in adjusted school budget share,Per pupil 2020 to 2021,,,,,,4653.11
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Change in adjusted school budget share,"Change in per pupil adjusted school budget share	",,,,,=,6.96%
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Excess funding gains above local authority cap,"Change in per pupil adjusted school budget share	",,,,,,6.96%
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Excess funding gains above local authority cap,Local authority cap,,,,,-,4.16%
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Excess funding gains above local authority cap,Excess funding gains above local authority cap,,,,,=,2.80%
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Percentage scaled back to local authority,Excess funding gains above local authority cap,,,,,=,2.80%
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Percentage scaled back to local authority,"scaled back to local authority	",,,,,=,100.00%
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Percentage scaled back to local authority,Percentage scaled back to local authority,,,,,=,2.80%
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Capping and scaling back adjustment,Percentage scaled back to local authority,,,,,=,2.80%
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Capping and scaling back adjustment,Pupil numbers 2021 to 2022,,,,,=,761
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Capping and scaling back adjustment,Per pupil adjusted school budget share 2020 to 2021,,,,,=,4653.11
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Capping and scaling back adjustment,Percentage scaled back to local authority,,,,,=,99227.83
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Total minimum funding guarantee,Minimum funding guarantee,,,,,,0
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Total minimum funding guarantee,Capping and scaling back adjustment,,,,,-,99227.83
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Total minimum funding guarantee,Adjustment to make sure capping and scaling back will not take the school budget share lower than the minimum funding level,,,,,+,0
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Total minimum funding guarantee,Total minimum funding guarantee,,,,,=,-99227.83
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,,Total minimum funding guarantee,,,,,,-99227.83
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Post-opening grant,Post-opening grant,Per pupil resources,,,,,,0
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Post-opening grant,Post-opening grant,Leadership or other costs to build up pupil numbers,,,,,,0
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Post-opening grant,Post-opening grant,Total post-opening grant,,,,,,0
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Post-opening grant,,Total post-opening grant,,,,,,0
Mole Catch Academy,General annual grant: academic year 2021 to 2022,High needs,Pre-16 high needs,Special occupied,6000,,,0,,0
Mole Catch Academy,General annual grant: academic year 2021 to 2022,High needs,Pre-16 high needs,Special unoccupied,10000,,,0,,0
Mole Catch Academy,General annual grant: academic year 2021 to 2022,High needs,Pre-16 high needs,Alternative provision,10000,,,0,,0
Mole Catch Academy,General annual grant: academic year 2021 to 2022,High needs,Pre-16 high needs,Total pre-16 high needs,,,,,,0
Mole Catch Academy,General annual grant: academic year 2021 to 2022,High needs,,Total high needs,,,,,,0
Mole Catch Academy,General annual grant: academic year 2021 to 2022,,,Total allocation,,,,,,3863159.7
