Organisation,Allocation,Block,Factor,Description,Rate,Weighting,Pupils,Place numbers,Calculation,Sub-total,Total
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,2021 to 2022 guaranteed per pupil school budget share,Change guaranteed by local authority,,,,,*,0.015,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,2021 to 2022 guaranteed per pupil school budget share,Per pupil adjusted school budget share 2020 to 2021,,,,,+,7111.59,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,2021 to 2022 guaranteed per pupil school budget share,Guaranteed per pupil school budget share,,,,,=,7004.92,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,2021 to 2022 guaranteed school budget share,Guaranteed per pupil school budget share,,,,,,7004.92,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,2021 to 2022 guaranteed school budget share,Pupils,,,,,*,1082,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,2021 to 2022 guaranteed school budget share,Guaranteed school budget share 2021 to 2022,,,,,=,7579323.44,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,2021 to 2022 adjusted school budget share,School budget share,,,,,,6568449.14,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,2021 to 2022 adjusted school budget share,Approved exclusions,,,,,-,0,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,2021 to 2022 adjusted school budget share,Lump sum (including London fringe),,,,,-,110000,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,2021 to 2022 adjusted school budget share,Sparsity value,,,,,-,0,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,2021 to 2022 adjusted school budget share,Technical adjustments,,,,,-,0,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,2021 to 2022 adjusted school budget share,Adjusted school budget share 2021 to 2022,,,,,=,6458449.14,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Minimum funding guarantee,Guaranteed school budget share 2021 to 2022,,,,,,7579323.44,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Minimum funding guarantee,Adjusted school budget share 2021 to 2022,,,,,-,6458449.14,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Minimum funding guarantee,Minimum funding guarantee,,,,,=,1120874.3,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Total minimum funding guarantee,Minimum funding guarantee,,,,,,1120874.3,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Total minimum funding guarantee,Capping and scaling back adjustment,,,,,-,0,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Total minimum funding guarantee,Adjustment to make sure capping and scaling back will not take the school budget share lower than the minimum funding level,,,,,+,0,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,Total minimum funding guarantee,Total minimum funding guarantee,,,,,=,1120874.3,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Minimum funding guarantee,,Total minimum funding guarantee,,,,,,,1120874.3
Mole Catch Academy,General annual grant: academic year 2021 to 2022,High needs,Pre-16 high needs,Alternative provision,10000,,,0,,0,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,High needs,Pre-16 high needs,Special occupied,6000,,,0,,0,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,High needs,Pre-16 high needs,Special unoccupied,10000,,,0,,0,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,High needs,Pre-16 high needs,Total pre-16 high needs,,,,,,0,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,High needs,,Total high needs,,,,,,,0
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Post-opening grant,Post-opening grant,Per pupil resources,,,,,,15000,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Post-opening grant,Post-opening grant,Leadership or other costs to build up pupil numbers,,,,,,40500,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Post-opening grant,Post-opening grant,Total post-opening grant,,,,,,55500,
Mole Catch Academy,General annual grant: academic year 2021 to 2022,Post-opening grant,,Total post-opening grant,,,,,,,55500
Mole Catch Academy,General annual grant: academic year 2021 to 2022,,,Total allocation,,,,,,,7754823.44
